link,Advanced Runs,Number Lifts,Address,Intermediate Runs,Skiable Terrain,City,Max Ticket Price,Terrain Parks,Min Ticket Price,Expert Runs,Resort Name,Latitude,Average Snowfall,Longitude,Night Skiing,Beginner Runs,Runs,Open/Close Dates,Rating,Zip Code,State,Elevation
http://www.onthesnow.com/washington/49-degrees-north/ski-resort.html,25,7,P.O. Box 166,40,2325,Chewelah,55.00,1,0.00,5,49 Degrees North,48.3231391,301,-117.6990178,True,30,82,12/ 6-4/ 5,3,99109,Washington,3931ft - 5774ft
http://www.onthesnow.com/minnesota/afton-alps/ski-resort.html,17,22,6600 Peller Avenue South,42,250,Hastings,N/A,5,N/A,0,Afton Alps,44.8544669,60,-92.79069779999999,True,42,48,11/27-3/27,2.9,55033,Minnesota,1180ft - 1530ft
http://www.onthesnow.com/washington/alpental/ski-resort.html,38,5,POB 1068,17,825,Snoqualmie,66.00,0,12.00,42,Alpental,47.549428,429,-121.779668,True,4,24,12/12-5/ 5,3.1,98068,Washington,3140ft - 5420ft
http://www.onthesnow.com/pennsylvania/alpine-mountain/ski-resort.html,24,5,PO Box 309,38,99,Analomink,55.00,1,0.00,14,Alpine Mountain,41.051204,50,-75.2204589,True,24,21,1/ 7-3/13,3,18320,Pennsylvania,650ft - 1150ft
http://www.onthesnow.com/ohio/alpine-valley/ski-resort.html,33,5,10620 Mayfield,34,72,Chesterland,43.00,1,10.00,0,Alpine Valley,41.52687,120,-81.2597447,True,33,11,1/ 3-3/22,3,44026,Ohio,1260ft - 1500ft
http://www.onthesnow.com/wisconsin/alpine-valley-resort/ski-resort.html,20,13,P.O. Box 615,40,90,East,N/A,3,N/A,0,Alpine Valley Resort,47.0807296,80,-86.7639767,True,40,20,11/24-3/16,2.9,53120,Wisconsin,1020ft - 1260ft
http://www.onthesnow.com/michigan/alpine-valley-ski-area/ski-resort.html,30,14,6775 E. Highland Road,36,100,White,N/A,3,N/A,0,Alpine Valley Ski Area,42.6308531,20,-83.8203273,True,34,25,11/25-3/15,3,48383,Michigan,126ft - 500ft
http://www.onthesnow.com/utah/alta-ski-area/ski-resort.html,35,11,P.O. Box 8007,40,2200,Alta,89.00,0,0.00,0,Alta Ski Area,40.593733,560,-111.59393,False,25,116,11/20-4/24,3.8,84092,Utah,8529ft - 10550ft
http://www.onthesnow.com/alaska/alyeska-resort/ski-resort.html,37,9,P.O. Box 249,52,1610,Girdwood,75.00,3,25.00,0,Alyeska Resort,60.97004949999999,650,-149.1235655,True,11,76,11/26-4/19,2.9,99587,Alaska,250ft - 2750ft
http://www.onthesnow.com/minnesota/andes-tower-hills-ski-area/ski-resort.html,44,4,4505 Andes Road Southwest,25,35,Kensington,39.00,2,0.00,6,Andes Tower Hills Ski Area,45.850975,55,-95.6304971,True,25,16,11/21-3/29,2.6,56343,Minnesota,1330ft - 1620ft
http://www.onthesnow.com/new-mexico/angel-fire-resort/ski-resort.html,36,7,P.O. Box 130,46,560,Angel,N/A,4,N/A,0,Angel Fire Resort,18.9906526,210,-98.20553059999999,True,18,79,12/11-3/20,3.7,87710,New Mexico,8600ft - 10677ft
http://www.onthesnow.com/oregon/anthony-lakes-mountain-resort/ski-resort.html,0,3,47500 Anthony Lake Highway,38,1500,North,35.00,2,0.00,42,Anthony Lakes Mountain Resort,44.985539,300,-117.9930931,False,20,21,12/ 5-4/ 5,3,97867,Oregon,7100ft - 8000ft
http://www.onthesnow.com/north-carolina/appalachian-ski-mtn/ski-resort.html,25,5,PO Box 106,50,27,Blowing,60.00,3,0.00,0,Appalachian Ski Mountain,36.1994303,50,-81.52136949999999,True,25,12,11/24-4/ 3,3.1,28605,North Carolina,3635ft - 4000ft
http://www.onthesnow.com/michigan/apple-mountain/ski-resort.html,20,6,4519 N. River Road,40,80,Freeland,35.00,0,0.00,0,Apple Mountain,43.4726183,52,-84.101799,True,40,12,1/ 6-3/15,2.8,48623,Michigan,600ft - 820ft
http://www.onthesnow.com/colorado/arapahoe-basin-ski-area/ski-resort.html,37,8,PO Box 5808,30,960,Dillon,76.00,3,36.00,23,Arapahoe Basin Ski Area,39.63669489999999,350,-106.0153249,False,10,109,10/29-6/ 5,3.5,80435,Colorado,10779ft - 13050ft
http://www.onthesnow.com/arizona/arizona-snowbowl/ski-resort.html,21,7,P.O. Box 40,42,777,Flagstaff,69.00,3,35.00,0,Arizona Snowbowl,35.2401021,240,-111.50679,False,37,40,11/20-4/10,3.1,86002,Arizona,9200ft - 11500ft
http://www.onthesnow.com/colorado/aspen-snowmass/ski-resort.html,26,43,P.O. Box 1248,48,5547,Aspen,139.00,0,89.00,26,Aspen / Snowmass,39.21978500000001,300,-106.8013911,False,0,329,11/21-4/17,4.3,81612,Colorado,7879ft - 12510ft
http://www.onthesnow.com/new-hampshire/attitash/ski-resort.html,28,11,PO Box 308,46,311,Bartlett,79.00,5,40.00,0,Attitash,44.1398719,120,-71.08391499999999,False,26,68,12/26-4/ 3,3,03812,New Hampshire,600ft - 2350ft
http://www.onthesnow.com/california/badger-pass/ski-resort.html,15,5,9001 Village Dr.,50,88,Yosemite,48.50,2,22.00,0,Badger Pass,37.6421014,300,-118.9715843,False,35,10,12/12-3/29,3.1,95389,Sierra Nevada,7200ft - 7800ft
http://www.onthesnow.com/pennsylvania/bear-creek-mountain-resort/ski-resort.html,30,6,101 Doe Mountain Lane,40,86,Macungie,63.00,3,0.00,0,Bear Creek Mountain Resort,40.4765321,30,-75.6256248,True,30,23,1/ 7-3/22,3.2,18062,Pennsylvania,600ft - 1100ft
http://www.onthesnow.com/california/bear-mountain/ski-resort.html,14,12,P.O. Box 77,52,N/A,Big,N/A,2,N/A,10,Bear Mountain,37.333461,100,-118.800585,False,24,29,11/13-3/29,3.2,92315,Big Bear Lake,7139ft - 8804ft
http://www.onthesnow.com/california/bear-valley/ski-resort.html,35,10,P.O. Box 5038,40,1680,Bear,69.00,3,25.00,0,Bear Valley,28.315913,359,-82.677463,False,25,75,11/28-4/13,3.6,95223,Sierra Nevada,6600ft - 8500ft
http://www.onthesnow.com/colorado/beaver-creek/ski-resort.html,21,25,PO Box 7,43,1832,Vail,N/A,3,N/A,17,Beaver Creek,39.6522939,323,-106.2797469,False,19,150,11/25-4/10,4.2,81658,Colorado,8100ft - 11439ft
http://www.onthesnow.com/utah/beaver-mountain/ski-resort.html,25,5,P.O. Box 3455,40,464,Logan,48.00,2,33.00,0,Beaver Mountain,41.79733890000001,400,-111.779731,False,35,48,12/21-3/29,3.4,84323,Utah,7231ft - 8600ft
http://www.onthesnow.com/north-carolina/ski-beech-mountain-resort/ski-resort.html,30,7,PO Box 1118,40,95,Banner,77.00,1,0.00,0,Beech Mountain Resort,35.4304688,31,-78.4598129,True,30,15,11/27-3/22,3.2,28604,North Carolina,4675ft - 5504ft
http://www.onthesnow.com/new-york/belleayre/ski-resort.html,10,8,P.O. Box 313,58,171,Highmount,66.00,2,40.00,10,Belleayre,42.1442557,120,-74.4898745,False,22,50,12/ 4-4/12,3.2,12441,New York,2025ft - 3429ft
http://www.onthesnow.com/massachusetts/berkshire-east/ski-resort.html,17,6,P.O. Box 727,44,163,Charlemont,60.00,2,0.00,2,Berkshire East,42.67409290000001,120,-72.73519999999999,True,37,44,1/ 7-4/ 5,3.1,01339,Massachusetts,540ft - 1720ft
http://www.onthesnow.com/pennsylvania/big-boulder/ski-resort.html,0,8,P.O.Box 1539,0,55,Blakeslee,N/A,8,N/A,0,Big Boulder,41.092586,50,-75.5926886,True,100,16,12/12-4/19,2.8,18610,Pennsylvania,1700ft - 2175ft
http://www.onthesnow.com/michigan/big-powderhorn-mountain/ski-resort.html,24,10,N11375 Powderhorn Road,42,253,Bessemer,59.00,2,40.00,3,Big Powderhorn Mountain,46.4920861,214,-90.020912,False,30,33,12/23-4/ 3,3.2,49911,Michigan,1200ft - 1800ft
http://www.onthesnow.com/montana/big-sky-resort/ski-resort.html,42,34,P.O. Box 160001,25,5800,Big,106.00,7,46.00,18,Big Sky Resort,49.00139,400,-104.039563,False,15,306,11/26-4/17,3.9,59716,Montana,6800ft - 11166ft
http://www.onthesnow.com/maine/big-squaw-mountain-ski-resort/ski-resort.html,33,1,P.O. Box 430,34,N/A,Greenville,25.00,0,25.00,0,Big Squaw Mountain Ski Resort,45.5346909,N/A,-69.472809,False,33,29,12/26-4/ 4,3,04441,Maine,1750ft - 3200ft
http://www.onthesnow.com/michigan/bittersweet-ski-area/ski-resort.html,30,12,600 River Road,40,100,Otsego,41.00,2,16.00,0,Bittersweet Ski Area,42.7200029,90,-82.49554549999999,True,30,20,12/21-3/22,3,49078,Michigan,450ft - 850ft
http://www.onthesnow.com/michigan/blackjack-ski-resort/ski-resort.html,0,6,,40,170,Bessemer,62.00,2,20.00,40,Blackjack Ski Resort,46.4920861,210,-90.020912,False,20,26,12/26-3/27,2.8,49911,Michigan,385ft - 850ft
http://www.onthesnow.com/new-hampshire/black-mountain/ski-resort.html,8,4,P.O. Box B,34,143,Jackson,55.00,0,30.00,25,Black Mountain,44.244235,125,-71.0974899,False,33,45,1/ 2-3/28,2.8,03846,New Hampshire,1250ft - 2350ft
http://www.onthesnow.com/montana/blacktail-mountain-ski-area/ski-resort.html,15,4,Box 1090,70,1000,Lakeside,40.00,0,15.00,0,Blacktail Mountain Ski Area,48.0501099,250,-114.1837641,False,15,25,12/21-4/12,3,59922,Montana,5235ft - 6675ft
http://www.onthesnow.com/massachusetts/blandford-ski-area/ski-resort.html,10,5,PO Box 158,50,158,Blandford,N/A,2,N/A,0,Blandford Ski Area,42.2513399,50,-72.87195799999999,False,40,29,1/ 9-3/16,2.9,01008,Massachusetts,1035ft - 1685ft
http://www.onthesnow.com/massachusetts/blue-hills-ski-area/ski-resort.html,62,4,4001 Washington St,25,60,Canton,40.00,1,30.00,0,Blue Hills Ski Area,42.2927243,N/A,-71.1214653,False,13,16,1/ 6-4/ 3,3.1,02021,Massachusetts,326ft - 635ft
http://www.onthesnow.com/pennsylvania/blue-knob/ski-resort.html,26,5,PO Box 247,41,100,Claysburg,60.00,1,0.00,18,Blue Knob,40.309956,120,-78.434,True,15,34,1/ 4-3/22,3,16625,Pennsylvania,2073ft - 3146ft
http://www.onthesnow.com/pennsylvania/blue-mountain-ski-area/ski-resort.html,13,14,PO Box 216,13,164,Palmerton,N/A,6,N/A,33,Blue Mountain Resort,40.81370690000001,33,-75.57710709999999,True,41,39,12/22-4/ 5,3.5,18071,Pennsylvania,460ft - 1600ft
http://www.onthesnow.com/washington/bluewood/ski-resort.html,38,3,PO Box 88,45,355,Dayton,39.00,2,0.00,0,Bluewood,46.3280599,300,-117.9602729,False,17,24,12/19-3/15,3.2,99328,Washington,4545ft - 5670ft
http://www.onthesnow.com/idaho/bogus-basin/ski-resort.html,33,7,2600 Bogus Basin Rd.,45,2600,Boise,54.00,0,0.00,0,Bogus Basin,43.6433908,250,-116.2058992,True,22,75,11/27-4/10,3.4,83702,Idaho,5800ft - 7581ft
http://www.onthesnow.com/vermont/bolton-valley/ski-resort.html,23,6,4302 Bolton Access Rd,38,300,Bolton,59.00,3,0.00,6,Bolton Valley,44.4218027,300,-72.8486837,True,34,71,12/31-4/10,3.1,05477,Vermont,1446ft - 3150ft
http://www.onthesnow.com/california/boreal/ski-resort.html,39,8,P.O. Box 39,39,380,Truckee,59.00,6,29.00,0,Boreal Mountain Resort,39.3289345,400,-120.2197715,True,21,33,11/ 6-4/19,3,96161,Sierra Nevada,7200ft - 7700ft
http://www.onthesnow.com/ohio/boston-mills/ski-resort.html,40,8,P.O. Box 175,40,40,Peninsula,43.00,2,10.00,0,Boston Mills,41.252655,51,-81.51890879999999,True,20,7,1/ 6-3/22,3,44264,Ohio,631ft - 871ft
http://www.onthesnow.com/massachusetts/bousquet-ski-area/ski-resort.html,33,5,Dan Fox Dr.,33,200,Pittsfield,45.00,2,10.00,0,Bousquet Ski Area,42.503383,83,-73.182047,False,34,23,1/ 6-3/29,3.1,01201,Massachusetts,1125ft - 1875ft
http://www.onthesnow.com/michigan/boyne-highlands/ski-resort.html,35,10,600 Highlands Drive,29,435,Harbor,N/A,4,N/A,2,Boyne Highlands,42.3046952,140,-83.49067810000001,True,35,55,12/ 4-3/30,3.4,49740,Michigan,745ft - 1290ft
http://www.onthesnow.com/michigan/boyne-mountain-resort/ski-resort.html,17,12,P.O. Box 19,23,415,Boyne,N/A,7,N/A,3,Boyne Mountain Resort,45.2135766,140,-84.9815838,True,57,60,12/ 4-4/19,3.4,49713,Michigan,620ft - 1120ft
http://www.onthesnow.com/massachusetts/bradford-ski-area/ski-resort.html,10,10,P.O. Box 99,80,48,Bradford,48.00,1,25.00,0,Bradford Ski Area,42.7695348,N/A,-71.0758905,False,10,15,1/ 6-3/29,2.9,01835,Massachusetts,1300ft - 1547ft
http://www.onthesnow.com/ohio/brandywine/ski-resort.html,46,16,PO Box 175,27,85,Peninsula,43.00,2,10.00,0,Brandywine,41.252655,51,-81.51890879999999,True,27,11,1/ 6-4/ 5,3.1,44264,Ohio,631ft - 871ft
http://www.onthesnow.com/new-york/brantling-ski-slopes/ski-resort.html,30,5,4015 Fish Farm Road,40,20,,30.00,0,20.00,0,Brantling Ski Slopes,43.150318,110,-77.0656064,False,30,10,1/ 3-4/ 5,2.9,14551,New York,600ft - 850ft
http://www.onthesnow.com/colorado/breckenridge/ski-resort.html,24,34,P.O. Box 1058,31,2908,Breckenridge,N/A,4,N/A,34,Breckenridge,39.5406379,300,-106.014379,False,11,187,11/13-4/24,4.2,80424,Colorado,9600ft - 12997ft
http://www.onthesnow.com/new-hampshire/bretton-woods/ski-resort.html,30,10,Route 302,29,464,Bretton,89.00,3,25.00,16,Bretton Woods,42.8357646,200,-71.3664653,True,25,97,11/22-4/21,3.4,03575,New Hampshire,1600ft - 3100ft
http://www.onthesnow.com/utah/brian-head-resort/ski-resort.html,35,8,P.O. Box 190008,35,650,Brian,54.00,3,0.00,0,Brian Head Resort,39.5731372,400,-111.3799904,False,30,71,11/20-4/12,3.4,84719,Utah,9600ft - 11306ft
http://www.onthesnow.com/montana/bridger-bowl/ski-resort.html,18,8,15795 Bridger Canyon Rd.,28,2000,Bozeman,54.00,2,0.00,42,Bridger Bowl,45.816956,350,-110.883336,False,12,105,12/11-4/ 3,3.2,59715,Montana,6100ft - 8700ft
http://www.onthesnow.com/utah/brighton-resort/ski-resort.html,25,6,12601 Big Cottonwood Canyon Rd,39,1050,Brighton,75.00,1,0.00,15,Brighton Resort,40.6223676,500,-111.5932349,True,21,66,11/18-4/17,3.7,84121,Utah,8754ft - 10500ft
http://www.onthesnow.com/new-york/bristol-mountain/ski-resort.html,20,6,5662 Route 64,45,160,Canandaigua,72.00,3,0.00,0,Bristol Mountain,42.745233,60,-77.40474619999999,True,35,34,12/22-4/ 5,3.4,14424,New York,1000ft - 2200ft
http://www.onthesnow.com/vermont/bromley-mountain/ski-resort.html,32,8,PO Box 1130,36,178,Manchester,73.00,3,41.00,2,Bromley Mountain,43.1817098,145,-73.051705,False,30,47,11/28-4/10,3,05255,Vermont,1950ft - 3283ft
http://www.onthesnow.com/wisconsin/bruce-mound/ski-resort.html,50,5,517 Court St.,17,40,Neilsville,23.00,2,9.00,16,Bruce Mound,44.029606,42,-88.17754219999999,True,17,12,3/13-3/13,3.2,54754,Wisconsin,1000ft - 1375ft
http://www.onthesnow.com/idaho/brundage-mountain-resort/ski-resort.html,10,5,P.O. Box 1062,50,1500,McCall,62.00,2,18.00,20,Brundage Mountain Resort,44.9340959,320,-116.064759,False,20,46,12/11-4/10,3.1,83638,Idaho,5839ft - 7639ft
http://www.onthesnow.com/virginia/bryce-resort/ski-resort.html,13,7,P.O. Box 3,50,25,Basye,63.00,0,0.00,0,Bryce Resort,38.853359,30,-78.7175309,True,38,8,1/ 7-3/28,2.8,22810,Virginia,1250ft - 1750ft
http://www.onthesnow.com/minnesota/buck-hill/ski-resort.html,16,8,15400 Buck Hill Road,34,45,Burnsville,44.00,0,26.00,16,Buck Hill,44.7248619,60,-93.2837332,True,34,16,12/19-3/15,3,55306,Minnesota,918ft - 1225ft
http://www.onthesnow.com/minnesota/buena-vista-ski-area/ski-resort.html,25,6,621 Lake Julia Drive NW,55,30,Bemidji,N/A,0,N/A,0,Buena Vista Ski Area,47.667616,78,-94.8860522,True,20,17,11/28-3/15,2.8,56601,Minnesota,1280ft - 1510ft
http://www.onthesnow.com/new-york/buffalo-ski-club-ski-area/ski-resort.html,0,7,P.O. Box 608,46,225,Orchard,45.00,1,30.00,34,Buffalo Ski Club Ski Area,43.3716699,N/A,-78.27044219999999,True,20,43,1/12-3/29,2.8,14033,New York,2025ft - 3429ft
http://www.onthesnow.com/michigan/caberfae-peaks-ski-golf-resort/ski-resort.html,32,5,Caberfae Road,33,200,Cadillac,47.00,2,5.00,0,Caberfae Peaks,44.2813299,140,-85.37631689999999,True,35,34,12/ 4-4/ 3,3.1,49601,Michigan,1060ft - 1568ft
http://www.onthesnow.com/maine/camden-snow-bowl/ski-resort.html,61,3,PO Box 1207,30,100,Camden,39.00,2,0.00,0,Camden Snow Bowl,44.259464,69,-69.0283208,True,9,23,1/ 2-4/ 4,2.7,04843,Maine,150ft - 1080ft
http://www.onthesnow.com/pennsylvania/camelback-mountain-resort/ski-resort.html,32,16,PO Box 168,32,160,Tannersville,65.00,5,0.00,3,Camelback Mountain Resort,41.0486401,50,-75.2917343,True,32,35,12/22-4/ 5,3.2,18372,Pennsylvania,1250ft - 2100ft
http://www.onthesnow.com/new-jersey/campgaw-mountain/ski-resort.html,23,5,200 Campgaw Rd.,31,23,Mahwah,45.00,1,0.00,15,Campgaw Mountain,41.0599272,45,-74.18330329999999,True,31,13,1/ 7-3/29,2.8,07430,New Jersey,450ft - 726ft
http://www.onthesnow.com/west-virginia/canaan-valley-resort/ski-resort.html,43,5,HC 70 Box 330,36,91,Davis,59.00,1,0.00,2,Canaan Valley Resort,39.1475548,180,-79.4438449,True,19,47,1/ 6-3/20,3.6,26260,West Virginia,3429ft - 4279ft
http://www.onthesnow.com/new-hampshire/cannon-mountain/ski-resort.html,33,10,Franconia Notch State Park,52,282,Franconia,75.00,3,39.00,0,Cannon Mountain,44.2531679,160,-71.537367,False,15,95,12/ 4-4/10,3.2,03580,New Hampshire,1900ft - 4079ft
http://www.onthesnow.com/michigan/cannonsburg/ski-resort.html,15,10,P.O. Box 19,50,100,Cannonsburg,37.00,5,0.00,0,Cannonsburg,43.0539179,100,-85.4697477,False,35,21,1/ 6-3/22,2.9,49317,Michigan,850ft - 1100ft
http://www.onthesnow.com/wisconsin/cascade-mountain/ski-resort.html,28,11,W10441 Cascade Mtn. Rd.,36,160,Portage,55.00,4,0.00,0,Cascade Mountain,43.5843019,56,-89.4314079,True,36,36,12/18-3/20,3.2,53901,Wisconsin,820ft - 1280ft
http://www.onthesnow.com/north-carolina/cataloochee-ski-area/ski-resort.html,0,5,1080 Ski Lodge Road,39,50,Maggie,65.00,2,0.00,17,Cataloochee Ski Area,35.563065,50,-83.089668,True,44,18,11/22-3/27,3.1,28751,North Carolina,4660ft - 5400ft
http://www.onthesnow.com/new-york/catamount-ski-ride-area/ski-resort.html,19,7,P.O. Box 639 ,42,132,Hillsdale,65.00,3,16.00,6,Catamount,37.261448,108,-121.852197,True,33,36,1/ 7-4/ 5,3.3,12529,New England,1000ft - 2000ft
http://www.onthesnow.com/illinois/chestnut-mountain-resort/ski-resort.html,20,9,P.O. Box 6328,40,139,Galena,N/A,0,N/A,10,Chestnut Mountain Resort,42.442074,50,-90.40099699999999,True,30,22,12/19-3/15,3.2,61036,Illinois,565ft - 1040ft
http://www.onthesnow.com/wisconsin/christie-mountain/ski-resort.html,30,6,W13755  CTH O,23,45,Bruce,N/A,4,N/A,10,Christie Mountain,45.4685069,48,-91.2528699,True,37,30,12/ 5-3/16,3.1,54819,Wisconsin,1300ft - 1650ft
http://www.onthesnow.com/wisconsin/christmas-mountain/ski-resort.html,20,5,S-944 Christmas Mountain Road,40,40,Wisconsin,N/A,0,N/A,0,Christmas Mountain,47.0807296,20,-86.7639767,True,40,15,12/19-3/22,2.8,53965,Wisconsin,1000ft - 1250ft
http://www.onthesnow.com/minnesota/coffee-mill-ski-snowboard-resort/ski-resort.html,7,3,Box 127,29,40,Wabasha,35.00,1,0.00,29,Coffee Mill Ski & Snowboard Resort,44.3942531,48,-91.9782063,True,35,14,4/30-4/30,2.8,55981,Minnesota,725ft - 1150ft
http://www.onthesnow.com/oregon/cooper-spur/ski-resort.html,0,2,10755 Cooper Spur Road,60,50,Mount,32.00,0,10.00,0,Cooper Spur,45.4255158,100,-121.5910985,False,40,10,12/18-3/29,3.3,97041,Oregon,3500ft - 4000ft
http://www.onthesnow.com/colorado/copper-mountain-resort/ski-resort.html,36,23,P.O. Box 3001,25,2465,Copper,78.00,6,54.00,18,Copper Mountain Resort,39.1659094,305,-106.8151886,False,21,142,11/11-4/17,4,80443,Colorado,9702ft - 12312ft
http://www.onthesnow.com/new-hampshire/cranmore-mountain-resort/ski-resort.html,28,7,P.O. Box 1640,44,200,North,N/A,4,N/A,0,Cranmore Mountain Resort,45.3054761,150,-70.6026612,False,28,57,11/27-4/ 5,3.1,03860,New Hampshire,600ft - 2000ft
http://www.onthesnow.com/colorado/crested-butte-mountain-resort/ski-resort.html,15,15,P.O. Box 5700,41,1547,Mt,108.00,1,59.00,30,Crested Butte Mountain Resort,35.363647,300,-114.2350848,False,14,124,11/25-4/ 3,3.9,81225,Colorado,9100ft - 12162ft
http://www.onthesnow.com/new-hampshire/crotched-mountain/ski-resort.html,32,5,"615 Francestown Road, Route 47",40,100,Bennington,64.00,3,46.00,0,Crotched Mountain,42.9979298,105,-71.7545774,True,28,25,1/ 1-4/ 5,3.1,03442,New Hampshire,1050ft - 2066ft
http://www.onthesnow.com/michigan/crystal-mountain/ski-resort.html,30,9,12500 Crystal Mountain Drive,48,103,Thompsonville,72.00,5,29.00,0,Crystal Mountain,44.5192603,132,-85.9906554,True,22,58,12/ 5-4/10,3.6,49683,Michigan,757ft - 1132ft
